nomenclature,reporter_code,reporter_iso3,reporter_name,product_code,partner_code,partner_iso3,partner_name,year,trade_flow_name,trade_value_in_1000_usd
H5,203,CZE,Czech Rep,180631,0,WLD,World,2023,Gross Exports,75263.66
H5,208,DNK,Denmark,180631,0,WLD,World,2023,Gross Exports,48260.61379
H5,214,DOM,Dominican Rp,180631,0,WLD,World,2023,Gross Exports,93.638368
H5,218,ECU,Ecuador,180631,0,WLD,World,2023,Gross Exports,343.6645
H5,222,SLV,El Salvador,180631,0,WLD,World,2023,Gross Exports,10.429
H5,233,EST,Estonia,180631,0,WLD,World,2023,Gross Exports,2498.61124
H5,242,FJI,Fiji,180631,0,WLD,World,2023,Gross Exports,12.922393
H5,246,FIN,Finland,180631,0,WLD,World,2023,Gross Exports,10662.17685
H5,251,FRA,France+Monac,180631,0,WLD,World,2023,Gross Exports,73546.25017
H5,266,GAB,Gabon,180631,0,WLD,World,2023,Gross Exports,0.813824
H5,268,GEO,Georgia,180631,0,WLD,World,2023,Gross Exports,2778.261597
H5,276,DEU,Germany,180631,0,WLD,World,2023,Gross Exports,1315852.536
H5,288,GHA,Ghana,180631,0,WLD,World,2023,Gross Exports,96.01294
H5,300,GRC,Greece,180631,0,WLD,World,2023,Gross Exports,7205.658423
H5,320,GTM,Guatemala,180631,0,WLD,World,2023,Gross Exports,163.456
H5,340,HND,Honduras,180631,0,WLD,World,2023,Gross Exports,4.5717
H5,344,HKG,Hong Kong,180631,0,WLD,World,2023,Gross Exports,6242.610251
H5,348,HUN,Hungary,180631,0,WLD,World,2023,Gross Exports,92194.61
H5,352,ISL,Iceland,180631,0,WLD,World,2023,Gross Exports,1275.98363
H5,360,IDN,Indonesia,180631,0,WLD,World,2023,Gross Exports,3926.898088
H5,372,IRL,Ireland,180631,0,WLD,World,2023,Gross Exports,39730.77861
H5,376,ISR,Israel,180631,0,WLD,World,2023,Gross Exports,469.093
H5,380,ITA,Italy,180631,0,WLD,World,2023,Gross Exports,225911.4196
H5,384,CIV,Cote Divoire,180631,0,WLD,World,2023,Gross Exports,6.968276
H5,388,JAM,Jamaica,180631,0,WLD,World,2023,Gross Exports,0.99089
H5,392,JPN,Japan,180631,0,WLD,World,2023,Gross Exports,27804.88071
H5,398,KAZ,Kazakhstan,180631,0,WLD,World,2023,Gross Exports,20086.41253
H5,400,JOR,Jordan,180631,0,WLD,World,2023,Gross Exports,21642.14529
H5,404,KEN,Kenya,180631,0,WLD,World,2023,Gross Exports,370.065439
H5,410,KOR,Korea Rep.,180631,0,WLD,World,2023,Gross Exports,5122.651
H5,414,KWT,Kuwait,180631,0,WLD,World,2023,Gross Exports,602.930965
H5,417,KGZ,Kyrgyzstan,180631,0,WLD,World,2023,Gross Exports,86.658
H5,422,LBN,Lebanon,180631,0,WLD,World,2023,Gross Exports,13763.237
H5,428,LVA,Latvia,180631,0,WLD,World,2023,Gross Exports,11357.80994
H5,440,LTU,Lithuania,180631,0,WLD,World,2023,Gross Exports,87889.662
H5,442,LUX,Luxemberg,180631,0,WLD,World,2023,Gross Exports,2890.739855
H5,446,MAC,Macau,180631,0,WLD,World,2023,Gross Exports,40.442665
H5,450,MDG,Madagascar,180631,0,WLD,World,2023,Gross Exports,4.270254
